INFO:root:Send to 192.168.1.102:15600 -> LOGIN khaled pass7 53955
INFO:root:Received from 192.168.1.102 -> login-success
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15600 -> SEARCH khaled2
INFO:root:Received from 192.168.1.102 -> search-user-not-online
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15600 -> LOGOUT khaled
ERROR:root:OSError: [WinError 10038] An operation was attempted on something that is not a socket
INFO:root:Send to 192.168.1.102:15600 -> LOGIN khaled pass7 6651
INFO:root:Received from 192.168.1.102 -> login-success
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
INFO:root:Send to 192.168.1.102:15500 -> HELLO khaled
